count,create_date,location,weatherstation,temp,precip,canonical_location
12,2012-08-20,Montr\\xc3\\xa9al,CWTA,68.889285714300001,0.0,Montreal
6,2012-08-21,san francisco,KSFO,58.703846153800001,0.0,San Francisco
6,2012-08-21,San Jose,KSJC,63.3678571429,0.0,San Jose
3,2012-08-23,Redmond,KBFI,61.876666666699997,0.0,Seattle
3,2012-08-23,Birmingham,KBHM,75.650000000000006,0.0,Birmingham
1,2012-08-20,seattle,KBFI,67.315384615400006,0.0,Seattle
4,2012-08-20,St. Petersburg,KSPG,83.576666666700007,0.79000000000000004,St. Petersburg
3,2012-08-20,DC,KDCA,72.810714285700001,0.0,Washington DC
1,2012-08-19,Baltimore,KBWI,69.512500000000003,0.029999999999999999,Baltimore
4,2012-08-19,Portland,KPDX,67.1714285714,0.0,Portland
2,2012-08-19,DC,KDCA,73.031034482799996,0.55000000000000004,Washington DC
4,2012-08-20,Baltimore,KBWI,70.137037036999999,1.4099999999999999,Baltimore
13,2012-08-28,NY,KNYC,77.276470588199999,0.34999999999999998,New York
7,2012-08-28,Kansas City,KMKC,80.591666666699993,0.0,Kansas City
3,2012-08-31,Austin TX,KATT,85.775000000000006,0.0,Austin
17,2012-08-31,Vancouver,CWHC,59.75,0.0,Vancouver
46,2012-08-31,Chicago,KMDW,81.637500000000003,0.0,Chicago
4,2012-08-31,Berkeley,KOAK,58.788461538500002,0.0,Berkeley
4,2012-08-28,Portland OR,KPDX,67.487499999999997,0.0,Portland
6,2012-08-28,nyc,KNYC,77.276470588199999,0.34999999999999998,New York
4,2012-08-28,Minneapolis,KMIC,73.195833333300001,0.0,Minneapolis
3,2012-08-28,san francisco,KSFO,64.454166666700004,0.0,San Francisco
2,2012-12-12,Redmond,KBFI,43.232352941199998,0.48999999999999999,Seattle
6,2012-12-12,Edmonton,CXEC,4.6357142857099998,0.0,Edmonton
2,2012-12-12,Berkeley,KOAK,52.762962963,0.080000000000000002,Berkeley
